Book_Id,Title,Author,Published_Year,isbn,Total_Copies,Available_Copies,Category,Edition,Image
1,CONTROL SYSTEMS,P.S.SATYANARAYANA,2019,56337,40,10,Study,2,control systems.jpg
2,COMPUTER NETWORKS,LARRYL.PETERSON,2021,23454,35,25,Study,2,computer networks.jpg
3,HYDRAULIC ENGINEERING,ROBERSON CASSIDY CHAUDHRY,1998,63736,65,65,Study,1,hydraulics.jpg
4,FLUID MECHANICS,R.J.GARDE,1989,73654,90,88,Study,1,fluid mechanics.jpg
5,DESIGN THINKING,DR.D.B.MOHITE,2021,36533,35,30,Study,1,design thinking.jpg
6,DEEP LEARNING,GYANENDRA VERMA,2023,39847,88,75,Study,1,dl.jpg
7,CIVIL ENGINEERING,PRAVEEN DWIVEDI,2021,45675,9,5,Study,1,civil.jpg
8,ENGINEERING MECHANICS,DS BEDI.MP POONIA,2022,94875,76,66,Study,2,mechanical.jpg
9,AI AND ML,ANDREW HINTON,2024,48567,87,56,Study,1,ai and ml.jpg
10,COMPUTER VISION,S NAGABHUSHAN,2009,30984,123,88,Study,1,cvip.jpg
11,NATURAL LANGUAGE PROCESSING,NESSIO FERRARI,2025,34874,45,34,Study,1,nlp.jpg
12,OPERATING SYSTEMS,ADITYA SHARMA,2020,38744,87,49,Study,1,os.jpg
13,DSA IN PYTHON,"JOHN CANNING, ALAN BRODER",2022,29744,98,78,Study,1,dsa in python.jpg
14,DSA IN JAVA,ROBERT LAFORE,1998,24872,76,57,Study,2,dsa in java.jpg
15,DSA IN C,MANESH AND ABRAHAM,2017,29744,45,34,Study,1,dsa in c.jpg
16,PYTHON,A.A.PUNTAMBEKAR,2020,48755,49,30,Study,1,python.jpg
17,JAVA,E BALAGURUSAMY,2019,54874,89,80,Study,1,java.jpg
18,C,T JEYAPOOVAN,2004,39574,94,90,Study,1,c prog.jpg
19,PHYSICS,A.B.BHATTACHARYA,2015,34754,101,99,Study,1,phy.jpg
20,CHEMISTRY,DR P.KPATHAK,2018,34875,107,67,Study,1,chem.jpg
21,MATHEMATICS-1,"Dr. T.K.V. Iyengar, Dr. M.V.S.S.N. PRASAD",2014,34987,100,79,Study,1,m1.jpg
22,MATHEMATICS-2,"Dr. T.K.V. Iyengar, Dr. M.V.S.S.N. PRASAD",2022,43875,56,34,Study,1,m2.jpg
