book_id,title,author,published_year,isbn,total_copies,available_copies,category,edition
1,Spring laugh act,Teresa Smith,1982,9781928718635,3,1,Economics,5th
2,Attorney meeting,Anthony Gray,2000,9781363377770,2,0,Computer Science,7th
3,Community quite,William Vazquez,1976,9780065900767,19,12,Mathematics,10th
4,Continue gun,Kathryn Robertson,2004,9780334645962,5,2,Literature,2th
5,Simple someone standard,Rebecca Anderson,1992,9780030208911,1,0,Psychology,6th
6,Analysis peace,Bryan Moyer,2014,9780252119804,19,7,Mathematics,2th
7,His newspaper,Kyle Cohen,1956,9780839751533,5,5,Psychology,3th
8,Customer seem,Kimberly Sims,1976,9780132116121,9,0,Physics,2th
9,Of these although other,Dominique Lloyd,2011,9780018427310,2,2,History,7th
10,Follow major government,Donna Adams,1983,9780244380663,8,8,Physics,3th
11,War return,Ariana Miller,1975,9780470737514,17,13,Biology,3th
12,Each sometimes want,Nancy Thompson,1967,9781357220570,7,6,History,7th
13,Policy moment north,Michael Perez,1996,9780739974520,6,0,Physics,7th
14,Argue beautiful recognize,Jacob Cooley,1977,9781853651243,1,1,Philosophy,6th
15,Want Democrat,David Gonzalez,2008,9781538468500,2,0,Psychology,10th
16,Example inside throughout,Jake Perry Jr.,2006,9780243891047,3,1,History,5th
17,Visit admit,Jeremy Noble,1951,9780657845186,8,5,Computer Science,8th
18,Skin example wish,Martha Wells,1968,9781781046999,1,1,Biology,2th
19,Trip very art add,Walter Evans,2006,9780306233067,11,0,Chemistry,7th
20,Organization structure,Suzanne Martinez,2020,9781078210768,9,5,Mathematics,1th
21,Return difficult,Benjamin Ramirez,1958,9780702627118,20,20,Mathematics,8th
22,Ago respond first read,Steven Rhodes,1992,9780357754306,9,2,Engineering,8th
23,Certainly black,Linda Moore,1958,9780258227640,6,1,Art,6th
24,One daughter list himself,Morgan Stokes,2009,9780005944004,3,2,Chemistry,2th
25,Technology true blue address,Oscar Cochran,2017,9781666618884,9,1,Philosophy,7th
26,Image wish,Cassandra Hale,1974,9780712674881,2,0,Literature,10th
27,Over owner such,Raymond Anderson,1983,9781569953754,4,1,Philosophy,10th
28,Produce image,Leslie Ross,1974,9781413225839,19,18,Economics,2th
29,Stop lead,Cheryl Faulkner,2013,9780798140256,1,0,Mathematics,8th
30,Suffer morning radio,Kendra Smith,2001,9780869785201,20,10,Mathematics,5th
31,Arm hospital work prove,Diane Crawford,2022,9781072901273,6,1,Physics,4th
32,Week order,Joann Davis DDS,1971,9780640802073,1,1,History,5th
33,Exist represent,Joanna Rivera,2019,9781910823781,12,12,Art,7th
34,Exactly face example,Ashley Nelson,2017,9780109650825,13,8,Biology,10th
35,Black boy,Kristy Leonard,1966,9781809741387,6,5,Philosophy,4th
36,Society social,Terry Clark,1974,9781261705514,20,12,Art,5th
37,Usually their,Rachel Clark,2004,9781755756589,6,5,Physics,4th
38,Outside under environmental,Carrie Dorsey,1988,9781852286514,8,5,Engineering,2th
39,Standard voice large,Adam Wilson,2005,9780431726861,20,15,Economics,8th
40,Budget big,Jorge Riley,2005,9781692942717,3,2,Computer Science,7th
41,Attorney,Daniel Russell,1997,9781913660772,16,2,Literature,10th
42,Scientist professional citizen,Mitchell Mata III,2010,9781460968024,3,0,Art,10th
43,Then student,Michael Acosta,1995,9781097098897,20,13,Biology,8th
44,Respond eight,Jennifer Lewis,1978,9780773471580,12,2,Biology,5th
45,Big never,Calvin Freeman,1984,9781994495652,14,6,Philosophy,8th
46,Decision ever word,John Ponce,1961,9781205795106,2,0,Art,9th
47,Million accept,Mackenzie Sanchez,2005,9781990958458,1,1,Mathematics,3th
48,Leave know,Christopher Sullivan,2022,9780079136053,10,0,Art,6th
49,There suffer,Courtney Collins,1952,9780826627384,19,12,Biology,8th
50,Long book safe,Jenna Wong,2022,9781682983645,16,3,Physics,6th
